"id","contingency","phase_str","condval"
"ss41","90/10","acq",0.0600153853399117
"ss41","90/10","ext",-0.0930475455108924
"ss42","60/40","acq",-0.000629338301357689
"ss42","60/40","ext",-0.00366583446039327
"ss42","75/25","acq",0.0184628178562872
"ss42","75/25","ext",-0.00272045103378186
"ss42","90/10","acq",0.0102728697354275
"ss42","90/10","ext",-0.0311287291788273
"ss5","60/40","acq",0.0493006118173693
"ss5","60/40","ext",-0.00253170566305489
"ss5","75/25","acq",0.0455381589242613
"ss5","75/25","ext",-0.0291715579079852
"ss5","90/10","acq",0.0650531239298906
"ss5","90/10","ext",-0.0752279088101497
"ss7","60/40","acq",-0.0116189353862707
"ss7","60/40","ext",-0.0198381504626517
"ss7","75/25","acq",-0.0332673280695323
"ss7","75/25","ext",0.024249769997205
"ss7","90/10","acq",0.00161392853488434
"ss7","90/10","ext",-0.0424050395115082
"ss8","60/40","acq",0.0101218893947377
"ss8","60/40","ext",-0.0323147820571394
"ss8","90/10","acq",0.0778520696199836
"ss8","90/10","ext",-0.0323258904234044
"ss9","60/40","acq",0.0136640586393418
"ss9","60/40","ext",-0.00339295316083735
"ss9","75/25","acq",0.0263192304063636
"ss9","75/25","ext",-0.0163183182894954
"ss9","90/10","acq",0.0263512514625471
"ss9","90/10","ext",-0.0186811715002513
