"","id","ta","tabin","grpvar","term","grp","condval","condsd","phase","contingency","half","phase_str","half_str","abscondval","slope"
"435","pl24",4.48354834891703,"hiAnx","id","trno","pl24",-0.0254235916460592,0.0143652311261397,"ext","75/25","second","ext","second",0.0254235916460592,0.0254235916460592
"436","pl25",-10.016451651083,"lowAnx","id","trno","pl25",-0.0201991029417387,0.0147438834914855,"ext","75/25","second","ext","second",0.0201991029417387,0.0201991029417387
"437","pl26",-14.016451651083,"lowAnx","id","trno","pl26",-0.0142766552598686,0.0202990780622879,"ext","75/25","second","ext","second",0.0142766552598686,0.0142766552598686
"438","pl27",3.98354834891703,"hiAnx","id","trno","pl27",0.000977462820921707,0.0146279036786559,"ext","75/25","second","ext","second",0.000977462820921707,0.000977462820921707
"439","pl28",-0.0164516510829671,"hiAnx","id","trno","pl28",-0.0216845930925056,0.0143652311261397,"ext","75/25","second","ext","second",0.0216845930925056,0.0216845930925056
"440","pl29",5.98354834891703,"hiAnx","id","trno","pl29",-0.0635689003533264,0.0143652311261397,"ext","75/25","second","ext","second",0.0635689003533264,0.0635689003533264
"441","pl3",-15.016451651083,"lowAnx","id","trno","pl3",-0.0018292101383491,0.0143652311261397,"ext","75/25","second","ext","second",0.0018292101383491,0.0018292101383491
"442","pl30",-10.016451651083,"lowAnx","id","trno","pl30",-0.032994000298903,0.0143652311261397,"ext","75/25","second","ext","second",0.032994000298903,0.032994000298903
"443","pl33",-18.016451651083,"lowAnx","id","trno","pl33",0.011299037305639,0.0146279036786559,"ext","75/25","second","ext","second",0.011299037305639,0.011299037305639
"444","pl34",16.983548348917,"hiAnx","id","trno","pl34",0.0129207376351179,0.0147438834914855,"ext","75/25","second","ext","second",0.0129207376351179,0.0129207376351179
"445","pl4",6.98354834891703,"hiAnx","id","trno","pl4",-0.0150069351077889,0.0143652311261397,"ext","75/25","second","ext","second",0.0150069351077889,0.0150069351077889
"446","pl5",9.98354834891703,"hiAnx","id","trno","pl5",-0.0356502969402158,0.0143652311261397,"ext","75/25","second","ext","second",0.0356502969402158,0.0356502969402158
"447","pl6",-5.01645165108297,"lowAnx","id","trno","pl6",-0.0139813248056087,0.0143652311261397,"ext","75/25","second","ext","second",0.0139813248056087,0.0139813248056087
"448","pl7",-3.01645165108297,"lowAnx","id","trno","pl7",0.000118030394998674,0.0146279036786559,"ext","75/25","second","ext","second",0.000118030394998674,0.000118030394998674
"449","pl8",21.983548348917,"hiAnx","id","trno","pl8",-0.0327384543352686,0.0147438834914855,"ext","75/25","second","ext","second",0.0327384543352686,0.0327384543352686
"450","ss10",15.983548348917,"hiAnx","id","trno","ss10",-0.0178387164985429,0.0135431818878997,"ext","75/25","second","ext","second",0.0178387164985429,0.0178387164985429
"451","ss12",4.98354834891703,"hiAnx","id","trno","ss12",-0.0179552628732626,0.0153913754899732,"ext","75/25","second","ext","second",0.0179552628732626,0.0179552628732626
"452","ss13",-13.016451651083,"lowAnx","id","trno","ss13",-0.00654399037176781,0.0212864095633218,"ext","75/25","second","ext","second",0.00654399037176781,0.00654399037176781
"453","ss14",3.98354834891703,"hiAnx","id","trno","ss14",-0.0072456805509012,0.0135431818878997,"ext","75/25","second","ext","second",0.0072456805509012,0.0072456805509012
"454","ss15",-3.01645165108297,"lowAnx","id","trno","ss15",-0.0284361559339638,0.0172819900672547,"ext","75/25","second","ext","second",0.0284361559339638,0.0284361559339638
"455","ss16",-10.016451651083,"lowAnx","id","trno","ss16",-0.0115595473872316,0.0135431818878997,"ext","75/25","second","ext","second",0.0115595473872316,0.0115595473872316
"456","ss17",8.98354834891703,"hiAnx","id","trno","ss17",-0.0697790719026097,0.0135431818878997,"ext","75/25","second","ext","second",0.0697790719026097,0.0697790719026097
"457","ss18",-6.01645165108297,"lowAnx","id","trno","ss18",-0.00209496285909647,0.0212864095633218,"ext","75/25","second","ext","second",0.00209496285909647,0.00209496285909647
"458","ss19",-6.01645165108297,"lowAnx","id","trno","ss19",-0.0045385274606139,0.0172819900672547,"ext","75/25","second","ext","second",0.0045385274606139,0.0045385274606139
"459","ss20",-11.016451651083,"lowAnx","id","trno","ss20",0.00367311384970207,0.0153913754899732,"ext","75/25","second","ext","second",0.00367311384970207,0.00367311384970207
"460","ss21",9.98354834891703,"hiAnx","id","trno","ss21",-0.0619904137916753,0.0135431818878997,"ext","75/25","second","ext","second",0.0619904137916753,0.0619904137916753
"461","ss22",11.983548348917,"hiAnx","id","trno","ss22",-0.00531858317728406,0.0135431818878997,"ext","75/25","second","ext","second",0.00531858317728406,0.00531858317728406
"462","ss23",3.98354834891703,"hiAnx","id","trno","ss23",-0.00433526757279521,0.0212864095633218,"ext","75/25","second","ext","second",0.00433526757279521,0.00433526757279521
"463","ss24",-13.016451651083,"lowAnx","id","trno","ss24",-0.00190557287295124,0.0172819900672547,"ext","75/25","second","ext","second",0.00190557287295124,0.00190557287295124
"464","ss25",-0.0164516510829671,"hiAnx","id","trno","ss25",-0.0454469498487597,0.0153913754899732,"ext","75/25","second","ext","second",0.0454469498487597,0.0454469498487597
"465","ss26",9.98354834891703,"hiAnx","id","trno","ss26",-0.0332878101657873,0.0135431818878997,"ext","75/25","second","ext","second",0.0332878101657873,0.0332878101657873
"466","ss27",-13.016451651083,"lowAnx","id","trno","ss27",-0.000935010639103544,0.0135431818878997,"ext","75/25","second","ext","second",0.000935010639103544,0.000935010639103544
"467","ss28",-2.01645165108297,"lowAnx","id","trno","ss28",-0.0071163574964298,0.0212864095633218,"ext","75/25","second","ext","second",0.0071163574964298,0.0071163574964298
"468","ss29",-0.0164516510829671,"hiAnx","id","trno","ss29",-0.00260009327642516,0.0157423233832102,"ext","75/25","second","ext","second",0.00260009327642516,0.00260009327642516
"469","ss3",5.98354834891703,"hiAnx","id","trno","ss3",0.00336808973202796,0.0135431818878997,"ext","75/25","second","ext","second",0.00336808973202796,0.00336808973202796
