specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
ss18_bl6040,34,1,2,60/40,study_3,ss18,0.585128205128205,0.310320635989085,low-prob
ss18_bl7525,34,1,1,75/25,study_3,ss18,0.472325581395349,-0.199805289161502,hi-prob
ss18_bl7525,34,1,2,75/25,study_3,ss18,0.496046511627907,0.137147132129677,low-prob
ss18_bl9010,34,1,1,90/10,study_3,ss18,0.538936170212766,-0.429620425035267,hi-prob
ss18_bl9010,34,1,2,90/10,study_3,ss18,0.966382978723404,0.899255560057735,low-prob
ss19_bl6040,34,1,1,60/40,study_3,ss19,0.679285714285714,0.126232162476946,hi-prob
ss19_bl6040,34,1,2,60/40,study_3,ss19,0.618690476190476,0.149134931139575,low-prob
ss19_bl7525,34,1,1,75/25,study_3,ss19,0.592545454545455,-0.0947323050264021,hi-prob
ss19_bl7525,34,1,2,75/25,study_3,ss19,0.604454545454545,0.346291480484478,low-prob
ss19_bl9010,34,1,1,90/10,study_3,ss19,0.714615384615385,-0.173700064946823,hi-prob
ss19_bl9010,34,1,2,90/10,study_3,ss19,0.0853846153846154,-0.0366352965562275,low-prob
ss20_bl6040,29,1,1,60/40,study_3,ss20,0.755714285714286,0.258394324639109,hi-prob
ss20_bl6040,29,1,2,60/40,study_3,ss20,0.321309523809524,-0.15572993372529,low-prob
ss20_bl7525,29,1,1,75/25,study_3,ss20,0.762857142857143,-0.023460466726285,hi-prob
ss20_bl7525,29,1,2,75/25,study_3,ss20,0.174464285714286,-0.0123272608794774,low-prob
ss20_bl9010,29,1,1,90/10,study_3,ss20,0.909019607843137,-0.0447248921660211,hi-prob
ss20_bl9010,29,1,2,90/10,study_3,ss20,0.21421568627451,0.195072547415637,low-prob
ss21_bl6040,50,2,1,60/40,study_3,ss21,0.590918367346939,-0.115494231860331,hi-prob
ss21_bl6040,50,2,2,60/40,study_3,ss21,0.251326530612245,-0.180112339400709,low-prob
ss21_bl7525,50,2,1,75/25,study_3,ss21,0.741442307692308,-0.100495335330777,hi-prob
ss21_bl7525,50,2,2,75/25,study_3,ss21,0.183365384615385,-0.00307790350994867,low-prob
ss21_bl9010,50,2,1,90/10,study_3,ss21,0.908039215686274,-0.0457052843228838,hi-prob
ss21_bl9010,50,2,2,90/10,study_3,ss21,0.0419607843137254,0.0228176454548528,low-prob
